date,title,content
20260517,央视快评：更好回答中国之问世界之问人民之问时代之问,本台今天（5月17日）播发央视快评《更好回答中国之问世界之问人民之问时代之问》。
20260517,习近平同俄罗斯总统分别向第十届中俄博览会致贺信,5月17日，国家主席习近平同俄罗斯总统普京分别向第十届中俄博览会致贺信。习近平指出，今年是中俄战略协作伙伴关系建立30周年和《中俄睦邻友好合作条约》签署25周年。在双方共同努力下，中俄各领域合作不断走深走实，取得丰硕成果。习近平强调，希望两国各界以本届博览会为契机，发挥中俄毗邻和互补优势，深化全方位务实合作，更好促进两国经济社会发展，持续增进两国人民福祉，为推动中俄新时代全面战略协作伙伴关系行稳致远作出新贡献。普京在贺信中表示，俄中博览会已发展成为两国间规模最大的展会活动，为双方开展直接、深入对话提供了平台。本届博览会内容充实，聚焦双边重点合作领域，围绕广泛议题进行交流，相信将取得积极成果，为两国互利合作新前景作出规划，造福两国人民。第十届中俄博览会主题为“信任、合作、共赢”，由商务部、黑龙江省人民政府、俄罗斯经济发展部、俄罗斯工业和贸易部共同举办，当日在黑龙江省哈尔滨市开幕。
20260517,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】湖南：深化人工智能产业赋能和场景应用 河北：数字赋能 推动传统产业转型升级,“十五五”规划纲要提出，深入推进数字中国建设，提升数智化发展水平。湖南、河北全面实施“人工智能+”行动，用人工智能更好赋能千行百业，打造智能经济新形态。湖南：深化人工智能产业赋能和场景应用    近日，湖南发布23个人工智能大模型认定名单，后续将通过资金扶持、供需对接等加速这些大模型在相关行业的规模化应用。在这家国家领航级智能工厂，得益于人工智能大模型的开发应用，产品生产流程综合自动化率达85%以上。企业相关技术已赋能到农业机械、能源装备等领域的数百家企业。“十五五”规划纲要提出，全方位推进数智技术赋能。今年，湖南将聚焦科学技术、消费提质、民生福祉等五大重点领域，以及先进制造、文化旅游等14个核心赛道，深化人工智能产业赋能和场景应用。同时，布局人工智能领域创新联合体、概念验证中心、中试基地等，不断提升在人工智能领域的供给能力。河北：数字赋能 推动传统产业转型升级眼下，河北正在钢铁、化工等重点行业推动大模型深度应用，一批智能化、绿色化解决方案融入生产制造、质量管控等关键场景。在首钢迁安钢铁公司，新投用的智能修磨机器人能自动识别钢材表面缺陷，并精准完成打磨修复，缺陷检出率达到95%以上。“十五五”规划纲要提出，促进制造业“智改数转网联”，实施智能制造工程和工业互联网创新发展工程。“十五五”时期，河北将“人工智能+”作为产业转型升级的关键抓手，在钢铁、化工等领域一体推进研发攻关、应用迭代和生态培育，全省计划今年培育10个“数字领航”企业，建成100个先进级智能工厂。
20260517,社科界学习贯彻习近平文化思想座谈会在京举行,社科界学习贯彻习近平文化思想座谈会17日在北京举行。与会代表认为，党的十八大以来，哲学社会科学战线深入学习贯彻习近平总书记关于哲学社会科学的系列重要论述，坚持“两个结合”，加快构建中国特色哲学社会科学，为服务党和国家工作大局作出了重要贡献。与会代表表示，要以习近平新时代中国特色社会主义思想为指导，深入学习贯彻习近平文化思想，加快构建中国哲学社会科学自主知识体系。要持续深化党的创新理论体系化学理化研究阐释，深入研究中国式现代化重大理论和现实问题。要坚持党的全面领导，加强人才队伍建设，更好发挥国家社科基金示范引领作用，努力开创哲学社会科学高质量发展新局面。
20260517,我国残疾人社会保障和关爱服务水平不断提升,今天（5月17日）是第36个全国助残日。党的十八大以来，我国残疾人社会保障和关爱服务水平不断提升，残疾人事业稳步迈向高质量发展新阶段。今年助残日的主题为“保障残疾人平等权益，促进残疾人融合发展”。 青海西宁、吉林长春举行专场招聘会，为高校残疾毕业生搭建就业平台；四川成都举行“美丽工坊”残疾人文创作品展销活动，线上线下助力残疾人增收；山东、浙江、甘肃等地开展免费义诊、辅具适配等活动，普及残疾预防知识，提升残疾康复水平。在福建平潭，来自福建各地市、香港、澳门、台湾的14支特奥运动队以体育竞技为纽带，促进四地残疾人事业协同发展。河北秦皇岛、湖北随州等地组织残疾人到景区游览，体验无障碍环境改善。截至今年3月底，我国已有1199.8万残疾人领取困难残疾人生活补贴，1682.6万残疾人领取重度残疾人护理补贴。融合教育水平不断提升，每年走进大学校门的残疾学生超过3万名。全面实施的残疾儿童康复救助制度和残疾人辅助器具适配补贴制度，让近4000万人次残疾人得到基本康复服务。全国城乡持证残疾人就业人数已达到891.5万人。147万户困难重度残疾人家庭完成无障碍改造，药品说明书无障碍改革试点不断扩容，覆盖药品已超1700种。我国残疾人生活质量、权益保障、社会参与度全面跃升。
20260517,一批水利重点工程有序推进,眼下，一批国家重大水利工程有序推进，为高质量发展提供坚实保障。淮河入海水道二期工程正加紧施工。其中，单体投资最大的淮安枢纽项目已完成主体工程施工，即将开展水下验收。该枢纽项目预计2028年完工，将有效缓解淮河中游防洪除涝压力，为淮河出海航道建设奠定坚实基础。在山东临沂，蒙河双堠水库施工现场一派繁忙，大型机械协同作业，工人们抢抓汛期来临前的有利时机，开展重力坝坝体混凝土浇筑和左右岸土石坝填筑作业。蒙河双堠水库是国家“十四五”重大水利工程，预计今年11月完工。新疆大石峡水利枢纽工程建设进入冲刺阶段。工人们正忙着安装3台单机容量25万千瓦的水能发电机组。坝顶防浪墙施工也在紧锣密鼓推进。大石峡水利枢纽工程承担着南疆生态供水、灌溉、防洪、发电等综合任务，预计今年8月建成投产，届时，年均发电量可满足60余万户家庭用电需求，每年为塔里木河补充生态用水34.2亿立方米，惠及下游800余万亩农田。
20260517,我国县域消费市场供应持续改善,今年以来，我国县域商业体系加快补短板、提品质，消费市场供给持续优化，带动县乡消费市场活力持续释放。在山东泰安肥城，当地新落成的首个集餐饮、购物、文化娱乐等功能的商业综合体里，人气十足。商场里，XR影院、VR体验馆等服务消费类店铺占比超过60%。商务部最新数据显示，截至目前，我国已建设改造县城综合商贸服务中心3100多个、乡镇商贸中心约1.5万个，县域商业体系不断完善。与此同时，科技助力打通商品物流配送网络，让下沉市场消费活力持续激发。在海拔近3000米的青海海西州乌兰县，当地今年新开通7条无人快递车线路，覆盖11个邮政便民服务站。在云南文山马关县，今年村里日均处理快递量同比增长了近10倍，新的智能快递存放仓库也在加紧扩建中。今年一季度，农村居民人均消费支出增速继续快于城镇居民，全国县乡消费品零售额占社会消费品零售总额比重达到40.3%，占比持续提高。
20260517,工业遗产焕新 活化利用释放新活力,
20260517,【文化中国行】青铜铸文明 礼乐传古今,
20260517,多地强降雨持续 各地各部门积极应对,
